Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Cluster_KMeans,Cluster_Agglomerative,Cluster_DBSCAN,PCA1,PCA2
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,F,10.3,Yes,No,Master's,Medium,1,5.9,2,0,-1,-2.276554197300049,-0.6840433696428881
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,B,27.1,No,No,High School,Low,4,4.3,1,1,-1,1.9803498047180845,-0.5495441550368944
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,4.699999999999999,91.22,67.717,D,12.4,Yes,No,High School,Low,9,6.1,3,0,-1,-0.6979311456257862,-0.0168619204595872
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,4.2,55.48,51.6535,F,25.5,No,Yes,High School,Low,8,4.9,2,3,-1,-3.8816319729579454,0.6074447116730272
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,C,13.3,Yes,No,Master's,Medium,6,4.5,3,2,-1,0.0013998023739173898,-1.6029472012794959
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,D,25.3,Yes,No,,Medium,6,5.6,0,1,-1,-0.671544826536423,0.4617093783473696
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,B,22.1,Yes,No,Bachelor's,High,2,4.0,1,1,-1,2.189028102334735,1.6693300098217427
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,C,16.7,Yes,Yes,,Low,5,7.8,3,2,-1,-0.15624798683939933,1.2508651745177588
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,D,18.1,No,Yes,PhD,High,9,4.8,2,0,-1,-1.2396057588023854,0.4453696398165406
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,B,9.4,Yes,No,,High,8,7.1,1,1,-1,2.0782770136066433,0.3826082769478019
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70.0,85.54,67.58,77.77,44.900000000000006,93.14,79.98599999999999,C,7.9,Yes,Yes,High School,Low,4,8.2,1,1,-1,1.6188304722398832,-0.19017650376886017
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,87.9,64.57,80.18,82.8,66.17,77.6705,C,22.9,Yes,No,,Low,7,8.6,0,0,-1,1.1075036689309081,0.7523087383172263
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,97.23,83.43,67.3,21.3,54.02,70.909,C,26.2,No,No,,Medium,9,6.8,0,0,-1,-0.14289780364821453,1.6284607261239445
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,87.73,91.41,50.94,41.4,51.36,66.7105,D,23.0,No,No,PhD,Medium,5,7.9,0,0,-1,-0.9311570735594784,0.9779003834078334
